image_name,BoxesString
000193.png,52 28 63 39
000194.png,55 4 67 16
000195.png,51 91 67 108
000196.png,91 5 104 15
000197.png,3 111 17 125
000198.png,5 106 18 119
000199.png,53 2 66 18
000200.png,41 8 52 20
000201.png,93 39 110 55
000202.png,97 33 107 44
000203.png,74 108 90 128
000204.png,64 73 78 85
000205.png,41 90 57 110
000206.png,21 91 34 105
000207.png,15 108 33 125
000208.png,23 56 38 74
000209.png,56 34 72 50
000210.png,76 8 87 19
000211.png,109 83 127 104
000212.png,16 60 30 73
000213.png,80 107 94 122
000214.png,6 64 24 82
000215.png,46 69 60 82
000216.png,36 3 49 17
000217.png,78 0 96 20
000218.png,36 69 51 84
000219.png,35 62 48 74
000220.png,112 59 124 72
000221.png,65 32 78 46
000222.png,75 56 86 67
000223.png,40 44 51 55
000224.png,46 106 59 119
000225.png,110 4 122 16
000226.png,61 33 78 48
000227.png,3 109 21 127
000228.png,29 108 44 120
000229.png,60 67 77 85
000230.png,49 87 64 105
000231.png,71 11 88 25
000232.png,86 88 102 101
000233.png,95 51 106 62
000234.png,4 15 18 29
000235.png,66 22 78 35
000236.png,31 62 50 81
000237.png,25 94 41 109
000238.png,104 24 117 35
000240.png,8 65 21 80
000241.png,45 2 61 18
000242.png,82 69 93 81
000243.png,57 53 68 65
000244.png,107 40 123 59
000246.png,4 32 18 46
000247.png,100 52 118 69
000248.png,57 24 73 39
000249.png,32 104 44 116
000250.png,49 64 62 76
000251.png,86 110 103 126
000252.png,60 3 75 17
000253.png,70 97 83 108
000254.png,7 33 20 47
000255.png,70 64 83 78
000256.png,39 4 51 17
000257.png,8 42 18 52
000258.png,75 3 88 17
000259.png,39 64 54 78
000261.png,7 110 23 126
000262.png,43 60 58 76
000263.png,72 87 85 102
000265.png,36 94 50 110
000266.png,58 4 70 16
000267.png,4 18 16 31
000268.png,22 19 34 31
000269.png,87 15 106 35
000270.png,65 5 76 15
000271.png,41 85 52 99
000272.png,40 112 52 124
000273.png,11 2 27 18
000274.png,44 41 57 54
000275.png,1 4 19 19
000276.png,81 31 99 48
000277.png,35 30 50 47
000278.png,14 94 24 104
000279.png,52 85 68 106
000280.png,94 2 109 18
000281.png,106 19 116 29
000282.png,43 6 59 19
000283.png,10 40 28 54
000284.png,103 15 119 30
000285.png,109 30 127 47
000286.png,99 46 110 57
000287.png,53 110 68 126
000288.png,16 100 32 115
000289.png,3 27 17 41
000290.png,76 67 87 78
000291.png,4 15 19 34
000292.png,42 86 62 104
000293.png,69 65 86 78
000294.png,109 84 120 95
000295.png,67 10 81 22
000296.png,17 49 27 59
000297.png,54 88 64 98
000298.png,44 107 59 121
000299.png,56 50 67 61
000300.png,20 68 31 79
000301.png,109 20 127 36
000302.png,59 78 76 93
000303.png,87 36 98 47
000304.png,5 26 15 36
000305.png,7 10 21 24
000306.png,8 108 24 128
000307.png,30 34 41 45
000308.png,3 25 16 37
000309.png,77 16 88 27
000310.png,34 52 51 66
000311.png,2 6 18 23
000312.png,27 110 46 126
000313.png,84 80 94 90
000314.png,105 76 119 92
000315.png,104 21 120 35
000316.png,61 48 72 60
000317.png,81 78 95 92
000318.png,37 57 48 68
000319.png,77 74 94 89
000320.png,4 28 15 39
000321.png,5 44 15 54
000322.png,48 13 63 31
000323.png,74 46 88 63
000324.png,43 85 54 97
000325.png,39 23 59 39
000326.png,101 110 117 126
000327.png,53 8 63 18
000328.png,92 58 102 68
000329.png,47 6 57 16
000330.png,21 29 41 48
000331.png,29 33 44 46
000332.png,51 112 65 124
000333.png,6 53 18 66
000334.png,105 85 119 98
000335.png,96 112 108 124
000336.png,67 100 81 113
000337.png,111 27 125 41
000338.png,72 11 83 21
000339.png,92 113 102 123
000340.png,56 65 72 85
000341.png,39 23 50 34
000342.png,70 65 80 75
000343.png,99 54 111 66
000344.png,36 76 48 88
000345.png,33 4 48 20
000346.png,101 84 112 95
000347.png,74 0 91 20
000348.png,5 64 24 84
000349.png,65 2 80 18
000350.png,11 61 21 71
000351.png,43 43 58 58
000352.png,81 5 92 15
000353.png,111 108 125 121
000354.png,8 112 20 124
000355.png,43 57 59 70
000356.png,84 110 100 126
000357.png,17 58 29 72
000358.png,10 8 26 25
000359.png,20 28 37 42
000360.png,92 36 102 46
000361.png,3 68 17 82
000362.png,66 110 88 126
000363.png,65 29 75 40
000364.png,65 52 75 63
000365.png,75 66 88 79
000366.png,74 28 85 38
000367.png,77 12 90 27
000368.png,37 76 52 91
000369.png,3 9 17 23
000370.png,9 29 21 41
000371.png,50 67 70 82
000372.png,20 74 36 89
000373.png,26 66 44 85
000374.png,62 18 76 32
000375.png,110 53 126 71
000376.png,85 15 96 28
000377.png,103 39 119 56
000378.png,101 109 116 127
000379.png,68 2 85 18
000380.png,92 6 105 19
000381.png,97 70 113 89
000382.png,113 5 123 15
000383.png,22 80 40 99
000384.png,67 86 86 104
000385.png,77 13 94 30
000386.png,110 3 126 17
000387.png,27 25 40 37
000388.png,4 73 16 84
000389.png,73 7 88 21
000390.png,69 61 82 73
000391.png,49 72 60 84
000392.png,79 60 91 73
000393.png,43 107 55 118
000394.png,23 93 34 104
000395.png,9 14 19 24
000396.png,31 47 43 59
000397.png,79 56 90 66
000398.png,105 3 117 17
000399.png,93 21 103 31
000400.png,15 112 27 124
000401.png,20 22 35 35
000402.png,53 2 72 18
000403.png,74 38 91 58
000404.png,86 59 105 76
000405.png,2 85 18 100
000406.png,20 56 35 72
000407.png,65 5 76 15
000408.png,27 0 48 20
000409.png,109 45 121 57
000410.png,108 1 124 19
000411.png,75 62 88 75
000412.png,16 15 27 27
000413.png,94 48 111 65
000414.png,104 56 114 66
000415.png,100 29 116 47
000416.png,52 97 65 110
000417.png,66 3 81 17
000418.png,43 110 54 121
000419.png,77 102 90 114
000420.png,5 60 16 71
000421.png,69 66 79 76
000422.png,70 35 82 46
000423.png,110 76 126 90
000424.png,47 112 61 124
000425.png,17 105 30 119
000426.png,9 32 23 46
000427.png,9 4 21 16
000428.png,112 38 124 49
000429.png,102 6 119 23
000430.png,29 38 43 53
000431.png,87 37 102 51
000432.png,45 82 64 102
000433.png,39 28 50 38
000434.png,19 86 31 98
000435.png,16 11 30 25
000436.png,48 70 60 82
000437.png,7 100 17 110
000438.png,3 67 17 81
000439.png,5 75 22 90
000440.png,106 52 122 69
000441.png,44 29 62 43
000442.png,32 13 44 25
000443.png,107 56 123 74
000444.png,76 89 87 100
000445.png,27 5 39 15
000446.png,95 44 105 54
000447.png,95 3 108 17
000448.png,99 7 109 18
000449.png,78 44 89 56
000450.png,36 6 46 16
000451.png,66 96 78 107
000452.png,22 67 32 77
000453.png,25 110 41 126
000454.png,54 108 64 119
000455.png,89 27 99 39
000456.png,102 103 115 115
000457.png,109 77 127 96
000458.png,98 38 110 51
000459.png,22 11 42 29
000460.png,24 36 40 51
000461.png,112 42 124 54
000462.png,23 37 39 51
000463.png,17 33 31 47
000464.png,82 110 98 126
000465.png,4 106 21 122
000466.png,13 21 23 31
000467.png,30 47 40 58
000468.png,35 5 45 15
000469.png,31 66 47 87
000470.png,70 99 81 110
000471.png,19 4 34 16
000472.png,88 22 98 32
000473.png,111 3 125 17
000474.png,36 25 48 40
000475.png,102 110 117 126
000476.png,21 18 37 32
000477.png,90 4 108 23
000478.png,46 14 58 26
000479.png,106 3 122 17
000480.png,16 84 33 97
000481.png,47 103 60 117
000482.png,71 96 82 106
000483.png,84 110 101 126
000484.png,111 101 121 111
000485.png,14 65 26 76
000486.png,108 74 127 92
000487.png,45 84 62 100
000488.png,30 7 42 19
000489.png,71 6 81 16
000490.png,21 79 37 96
000491.png,54 112 66 124
000492.png,9 9 21 23
000493.png,1 94 19 110
000494.png,20 42 31 54
000495.png,23 96 36 110
000496.png,87 54 102 69
000497.png,62 86 75 99
000498.png,102 113 112 123
000499.png,73 5 83 15
000500.png,76 105 87 116
000501.png,34 31 49 46
000502.png,5 55 15 65
000503.png,43 70 59 86
000504.png,60 4 72 19
000505.png,57 11 68 23
000506.png,30 14 44 28
000507.png,112 54 123 65
000508.png,113 33 123 43
000509.png,80 3 96 17
000510.png,102 78 112 88
000511.png,71 47 91 64
000512.png,87 80 105 98
000513.png,97 52 109 64
000514.png,22 41 35 53
000515.png,5 110 21 126
000516.png,113 85 123 96
000517.png,29 109 39 119
000518.png,55 80 72 96
000519.png,101 44 114 56
000520.png,96 2 112 18
000521.png,3 60 17 76
000522.png,104 2 120 18
000523.png,28 63 48 81
000524.png,103 36 121 53
000525.png,105 92 118 106
000526.png,73 60 85 73
000527.png,103 72 118 88
000528.png,71 14 83 28
000529.png,54 75 65 89
000530.png,112 64 124 78
000531.png,77 15 88 27
000532.png,43 13 57 28
000533.png,9 39 21 52
000534.png,91 33 102 44
000535.png,108 42 128 63
000536.png,46 27 62 43
000537.png,109 91 123 105
000538.png,112 23 124 33
000539.png,106 102 124 120
000540.png,4 36 16 48
000541.png,60 22 71 32
000542.png,69 51 79 61
000543.png,58 110 72 126
000544.png,80 52 98 71
000545.png,79 65 92 80
000546.png,54 83 67 96
000547.png,29 23 39 33
000548.png,52 45 64 56
000549.png,19 9 32 26
000550.png,65 82 76 93
000551.png,108 55 128 76
000552.png,40 3 54 17
000553.png,49 26 62 41
000554.png,4 7 16 23
000555.png,52 44 66 55
000556.png,86 110 98 122
000557.png,51 90 66 104
000558.png,4 71 16 85
000559.png,19 42 33 59
000560.png,86 40 105 57
000561.png,58 49 79 69
000562.png,10 65 26 80
000563.png,93 48 108 67
000564.png,3 4 17 21
000565.png,3 111 17 125
000566.png,77 110 93 126
000567.png,80 15 97 34
000568.png,27 37 46 52
000569.png,52 23 71 40
000570.png,102 2 119 18
000571.png,45 45 57 56
000572.png,48 66 64 80
000573.png,111 28 125 42
000574.png,83 44 93 56
000575.png,5 97 15 108
000576.png,37 17 54 31
000577.png,88 85 108 101
000578.png,78 67 93 82
000579.png,17 4 31 16
000580.png,90 23 104 38
000581.png,86 5 96 15
000582.png,44 44 58 57
000583.png,111 111 125 125
000584.png,30 2 46 18
000585.png,49 36 65 50
000586.png,51 57 67 72
000587.png,71 106 85 120
000588.png,55 9 72 26
000589.png,30 109 41 121
000590.png,78 79 90 94
000591.png,111 111 125 124
000592.png,90 43 109 59
000593.png,3 43 17 56
000594.png,20 73 35 88
000595.png,113 94 123 104
000596.png,5 83 18 97
000597.png,95 51 110 67
000598.png,99 73 115 91
000599.png,69 9 85 25
000600.png,111 91 125 103
000601.png,15 35 34 54
000602.png,25 9 40 24
000603.png,2 87 18 104
000604.png,56 55 75 75
000605.png,47 101 58 112
000606.png,58 5 69 15
000607.png,13 23 29 39
000608.png,94 0 113 20
000609.png,17 22 30 35
000610.png,79 69 93 83
000611.png,70 73 83 85
000612.png,90 13 105 29
000613.png,53 90 70 106
000614.png,87 109 103 125
000615.png,90 4 107 21
000616.png,57 63 70 78
000617.png,88 59 107 76
000618.png,7 2 21 18
000619.png,68 39 83 60
000620.png,98 95 114 108
000621.png,4 112 16 124
000622.png,3 52 17 66
000623.png,39 19 52 35
000624.png,29 48 40 59
000625.png,7 18 20 31
000626.png,87 93 102 109
000627.png,113 76 123 86
000628.png,84 93 95 106
000629.png,78 66 88 76
000630.png,54 112 66 124
000631.png,4 23 16 34
000632.png,17 4 29 16
000633.png,5 23 15 33
000634.png,88 6 104 20
000635.png,74 54 84 64
000636.png,100 89 112 101
000637.png,64 22 77 39
000638.png,35 111 46 124
000639.png,111 53 125 65
000640.png,73 33 83 44
000641.png,37 77 51 90
000642.png,5 37 15 47
000643.png,4 61 16 74
000644.png,34 71 47 84
000645.png,92 0 112 21
000646.png,68 17 83 29
000647.png,52 111 64 124
000648.png,112 58 124 73
000649.png,19 44 36 65
000650.png,11 98 22 108
000651.png,22 5 32 15
000652.png,59 54 69 64
000653.png,96 67 109 82
000654.png,4 87 16 100
000655.png,91 31 105 46
000656.png,54 25 66 37
000657.png,4 4 16 16
000658.png,6 98 17 110
000659.png,21 2 36 18
000660.png,25 22 41 38
000661.png,88 39 101 54
000662.png,0 61 22 79
000663.png,70 112 83 124
000664.png,80 38 96 52
000665.png,113 62 123 72
000666.png,4 38 16 49
000667.png,20 73 33 88
000668.png,88 112 100 124
000669.png,109 74 127 94
000670.png,53 108 72 123
000671.png,38 111 58 125
000672.png,10 74 22 87
000673.png,34 98 49 113
000674.png,76 2 91 18
000675.png,94 47 111 61
000676.png,42 37 53 48
000677.png,39 98 59 116
000678.png,31 28 41 38
000679.png,2 94 18 112
000680.png,108 91 128 106
000681.png,57 70 75 89
000682.png,53 18 71 34
000683.png,62 51 74 62
000684.png,65 108 85 126
000685.png,24 112 36 124
000686.png,75 37 86 49
000687.png,36 57 47 68
000688.png,4 21 16 37
000689.png,53 52 64 63
000690.png,3 12 17 26
000691.png,57 34 71 47
000692.png,99 91 111 102
000693.png,22 8 32 19
000694.png,38 49 48 59
000695.png,24 88 37 100
000696.png,22 68 36 81
000697.png,76 12 90 25
000698.png,106 68 126 85
000699.png,112 29 124 43
000700.png,12 90 29 105
000701.png,29 8 40 22
000702.png,112 61 124 72
000703.png,15 8 29 22
000704.png,17 49 29 60
000705.png,73 58 85 70
000706.png,3 29 17 44
000707.png,101 33 119 51
000708.png,42 18 55 30
000709.png,79 3 94 17
000710.png,52 76 69 89
000711.png,6 87 18 98
000712.png,104 55 121 72
000713.png,91 35 102 46
000714.png,103 82 116 95
000715.png,81 5 94 17
000716.png,10 99 23 113
000717.png,4 112 16 124
000718.png,20 103 32 115
000719.png,8 92 21 105
000720.png,92 3 110 17
000721.png,53 70 71 88
000722.png,97 30 114 50
000723.png,111 7 125 22
000724.png,26 45 39 58
000725.png,66 82 77 92
000726.png,82 3 96 17
000727.png,3 81 17 94
000728.png,57 27 67 38
000729.png,95 10 111 32
000730.png,112 84 124 96
000731.png,46 111 57 125
000732.png,8 5 19 16
000733.png,46 88 60 103
000734.png,92 112 105 124
000735.png,4 30 16 43
000736.png,24 87 35 98
000737.png,2 55 18 74
000738.png,34 3 47 17
000739.png,59 5 69 15
000740.png,18 104 37 119
000741.png,81 47 99 65
000742.png,109 109 127 127
000743.png,97 22 107 33
000744.png,50 105 66 122
000745.png,104 110 120 126
000746.png,9 110 19 120
000747.png,107 86 119 97
000748.png,31 13 49 32
000749.png,24 42 38 55
000750.png,87 48 101 62
000751.png,67 65 80 80
000752.png,4 103 16 114
000753.png,69 93 81 104
000754.png,5 112 15 124
000755.png,2 29 18 45
000756.png,91 45 101 56
000757.png,34 111 47 125
000758.png,113 53 123 64
000759.png,67 64 78 74
000760.png,53 95 68 112
000761.png,87 22 97 32
000762.png,11 80 33 97
000763.png,22 108 32 118
000764.png,76 113 86 123
000765.png,108 96 128 115
000766.png,64 3 80 17
000767.png,103 26 116 41
000768.png,50 4 64 16
000769.png,98 76 111 89
000770.png,30 72 42 83
000771.png,72 5 83 15
000772.png,12 49 24 63
000773.png,13 5 23 15
000774.png,21 0 41 20
000775.png,66 12 86 31
000776.png,4 34 19 49
000777.png,83 111 98 126
000778.png,22 43 33 53
000779.png,45 25 62 39
000780.png,61 10 77 25
000781.png,47 77 65 90
000782.png,63 52 75 64
000783.png,14 3 29 17
000784.png,15 2 31 18
000785.png,43 104 59 117
000786.png,41 82 53 94
000787.png,70 4 85 16
000788.png,111 46 124 59
000789.png,93 3 107 17
000790.png,42 11 56 31
000791.png,37 88 47 99
000792.png,3 19 17 34
000793.png,89 63 105 81
000794.png,98 102 110 114
000795.png,52 111 62 121
000796.png,60 46 72 59
000797.png,13 85 26 96
000798.png,77 19 93 33
000799.png,107 24 118 35
000800.png,19 24 32 36
000801.png,2 87 18 102
000802.png,4 86 16 99
000803.png,57 72 75 90
000804.png,107 58 118 69
000805.png,82 54 95 65
000806.png,95 110 109 126
000807.png,60 7 75 20
000808.png,59 16 72 29
000809.png,82 62 93 73
000810.png,112 113 124 123
000811.png,40 69 51 81
000812.png,3 20 17 37
000813.png,50 4 63 16
000814.png,27 18 41 33
000815.png,78 6 94 21
000816.png,111 3 125 17
000817.png,63 34 78 50
000818.png,101 16 115 31
000819.png,90 22 101 34
000820.png,67 105 83 119
000821.png,31 79 48 98
000822.png,54 46 64 58
000823.png,87 24 104 41
000824.png,90 42 101 56
000825.png,113 77 123 87
000826.png,110 44 126 59
000827.png,96 45 112 62
000828.png,3 74 17 91
000829.png,34 22 49 35
000830.png,22 13 32 24
000831.png,37 14 52 28
000832.png,108 60 123 72
000833.png,61 74 76 89
000834.png,69 72 84 89
000835.png,54 62 68 75
000836.png,75 79 85 90
000837.png,99 108 116 123
000838.png,80 12 90 22
000839.png,71 93 83 105
000840.png,20 2 41 18
000841.png,3 78 17 95
000842.png,84 100 97 114
000843.png,59 35 70 45
000844.png,22 28 38 45
000845.png,100 78 112 90
000846.png,80 11 90 21
000847.png,91 10 101 20
000848.png,36 54 56 76
000849.png,104 87 119 106
000850.png,62 111 75 125
000851.png,76 1 92 19
000852.png,96 105 107 116
000853.png,3 0 17 20
000854.png,36 4 54 26
000855.png,75 0 91 20
000856.png,70 23 80 34
000857.png,63 50 79 67
000858.png,31 45 48 61
000859.png,107 59 117 70
000860.png,11 87 28 104
000861.png,113 7 123 18
000862.png,76 41 94 60
000863.png,24 69 36 82
000864.png,39 43 52 55
000865.png,53 40 73 60
000866.png,3 90 17 105
000867.png,26 81 44 96
000868.png,107 109 125 124
000869.png,31 105 49 122
000870.png,64 27 78 40
000871.png,110 100 126 113
000872.png,92 44 102 54
000873.png,20 112 33 124
000874.png,41 89 54 102
000875.png,112 13 124 30
000876.png,13 61 25 76
000877.png,9 16 25 36
000878.png,60 4 72 16
000879.png,46 48 65 64
000880.png,82 70 96 84
000881.png,103 109 118 122
000882.png,113 66 123 76
000883.png,46 85 56 95
000884.png,8 41 19 51
000885.png,52 76 62 86
000886.png,102 14 118 30
000887.png,28 3 42 17
000888.png,112 102 122 113
000889.png,97 9 109 22
000890.png,53 21 64 31
000891.png,86 23 103 43
000892.png,94 80 109 101
000893.png,57 63 68 74
000894.png,92 109 111 127
000895.png,59 23 75 38
000896.png,101 40 112 51
000897.png,55 72 69 85
000898.png,28 110 39 120
000899.png,91 112 103 124
000900.png,9 26 24 41
000901.png,36 71 47 82
000902.png,100 39 118 57
000903.png,52 24 63 36
000904.png,61 17 82 39
000905.png,97 57 112 73
000906.png,98 32 109 43
000907.png,58 3 70 16
000908.png,31 10 45 26
000909.png,81 38 92 51
000910.png,36 82 47 92
000911.png,73 69 89 84
000912.png,31 67 46 81
000913.png,27 45 40 58
000914.png,102 92 121 111
000915.png,2 3 18 17
000916.png,3 109 17 127
000917.png,19 85 32 103
000918.png,82 103 92 113
000919.png,4 58 16 69
000920.png,37 33 49 45
000921.png,91 100 106 115
000922.png,32 28 48 45
000923.png,104 5 114 15
000924.png,16 1 37 19
000925.png,3 78 17 91
000926.png,45 26 58 37
000927.png,15 55 29 68
000928.png,68 29 84 47
000929.png,40 40 52 53
000930.png,5 109 18 123
000931.png,74 56 88 69
000932.png,64 20 83 34
000933.png,18 5 32 17
000934.png,4 4 16 16
000935.png,15 110 30 126
000936.png,84 42 102 59
000937.png,23 71 41 88
000938.png,4 13 16 25
000939.png,11 37 25 50
000940.png,110 15 126 32
000941.png,10 93 26 106
000942.png,58 5 69 15
000943.png,53 43 66 55
000944.png,48 63 65 77
000945.png,24 33 38 45
000946.png,47 60 60 76
000947.png,4 68 16 83
000948.png,13 23 30 39
000949.png,87 29 104 45
000950.png,112 109 124 121
000951.png,98 13 108 23
000952.png,91 30 105 44
000953.png,63 54 80 68
000954.png,79 45 90 57
000955.png,82 50 99 68
000956.png,8 84 22 99
000957.png,13 45 24 56
000958.png,87 84 99 94
000959.png,83 46 104 66
000960.png,69 109 84 127
000961.png,73 24 91 44
000962.png,80 86 95 101
000963.png,63 87 74 101
000964.png,30 33 44 51
000965.png,60 102 74 116
000966.png,72 2 85 18
000967.png,6 17 16 28
000968.png,61 32 72 43
000969.png,108 57 119 68
000970.png,82 3 95 17
000971.png,112 24 124 36
000972.png,4 87 15 98
000973.png,54 13 71 31
000974.png,39 5 50 17
000975.png,69 12 87 31
000976.png,113 97 123 108
000977.png,112 98 124 110
000978.png,52 7 68 20
000979.png,78 97 92 110
000980.png,36 4 49 16
000981.png,7 81 18 92
000982.png,9 87 23 100
000983.png,91 28 104 42
000984.png,18 83 34 99
000985.png,108 93 123 108
000986.png,16 50 26 61
000987.png,87 113 98 123
000988.png,84 44 94 54
000989.png,74 101 87 113
000990.png,110 102 126 117
000991.png,73 109 85 121
000992.png,83 52 97 64
000993.png,69 70 80 80
000994.png,80 108 93 122
000995.png,45 108 58 121
000996.png,3 58 17 75
000997.png,20 16 34 28
000998.png,73 14 85 28
000999.png,32 81 42 91
001000.png,98 57 118 78
001001.png,108 49 119 60
001002.png,103 94 119 107
001003.png,5 88 15 99
001004.png,58 109 75 127
001005.png,85 65 96 79
001006.png,31 71 48 87
001007.png,33 70 47 90
001008.png,43 46 60 64
001009.png,32 91 46 108
001010.png,60 74 76 88
001011.png,79 8 91 21
001012.png,11 56 22 67
001013.png,3 64 17 76
001014.png,72 42 94 58
001015.png,40 110 51 120
001016.png,7 25 24 42
001017.png,12 87 23 98
001018.png,51 78 65 94
001019.png,54 105 65 116
001020.png,26 93 41 108
001021.png,88 67 102 81
001022.png,54 108 72 128
001023.png,21 28 37 45
001024.png,3 73 17 88
001025.png,46 43 60 56
001026.png,65 112 77 123
001027.png,62 3 80 17
001028.png,45 50 57 61
001029.png,102 109 118 127
001030.png,111 3 125 17
001031.png,74 11 86 24
001032.png,94 4 107 16
001033.png,72 55 85 68
001034.png,80 30 92 45
001035.png,38 66 50 79
001036.png,0 62 20 81
001037.png,4 4 16 16
001038.png,18 41 28 51
001039.png,105 63 115 73
001040.png,73 81 85 95
001041.png,65 110 84 126
001042.png,78 109 98 127
001043.png,64 56 76 68
001044.png,42 111 54 122
001045.png,109 97 126 110
001046.png,26 99 36 109
001047.png,101 95 111 106
001048.png,4 7 16 19
001049.png,74 73 86 85
001050.png,72 7 86 19
001051.png,69 16 87 30
001052.png,113 99 123 109
001053.png,43 43 58 61
001054.png,8 35 19 45
001055.png,49 53 60 65
001056.png,6 5 17 16
001057.png,5 89 20 103
001058.png,111 16 125 31
001059.png,100 81 115 96
001060.png,89 89 102 101
001061.png,3 98 18 115
001062.png,70 44 87 60
001063.png,113 102 123 113
001064.png,64 35 79 49
001065.png,49 30 71 52
001066.png,80 49 99 68
001067.png,53 13 64 24
001068.png,30 65 47 82
001069.png,109 104 123 116
001070.png,60 94 75 112
001071.png,20 39 34 51
001072.png,13 45 24 57
001073.png,63 14 76 29
001074.png,100 90 116 105
001075.png,94 60 113 80
001076.png,96 29 107 39
001077.png,7 99 17 110
001078.png,21 29 32 40
